day,trips
2017-05-01,3949
2017-05-02,4233
2017-05-03,5056
2017-05-04,5231
2017-05-05,2202
2017-05-06,2403
2017-05-07,3671
2017-05-08,4207
2017-05-09,4428
2017-05-10,4973
2017-05-11,4881
2017-05-12,4128
2017-05-13,2844
2017-05-14,843
2017-05-15,3574
2017-05-16,5929
2017-05-17,5912
2017-05-18,5390
2017-05-19,5569
2017-05-20,4457
2017-05-21,4413
2017-05-22,3048
2017-05-23,5440
2017-05-24,5692
2017-05-25,2047
2017-05-26,3150
2017-05-27,4205
2017-05-28,4451
2017-05-29,1590
2017-05-30,4767
2017-05-31,5211
2017-06-01,5759
2017-06-02,5614
2017-06-03,3822
2017-06-04,3732
2017-06-05,2400
2017-06-06,1634
2017-06-07,5553
2017-06-08,6232
2017-06-09,6362
2017-06-10,5380
2017-06-11,4784
2017-06-12,5875
2017-06-13,5677
2017-06-14,6548
2017-06-15,6674
2017-06-16,3810
2017-06-17,4483
2017-06-18,4787
2017-06-19,5890
2017-06-20,6038
2017-06-21,6714
2017-06-22,6727
2017-06-23,6393
2017-06-24,4711
2017-06-25,5069
2017-06-26,6434
2017-06-27,5620
2017-06-28,6957
2017-06-29,6619
2017-06-30,5612
2017-07-01,4550
2017-07-02,4690
2017-07-03,5483
2017-07-04,5784
2017-07-05,6483
2017-07-06,6865
2017-07-07,4026
2017-07-08,4269
2017-07-09,5426
2017-07-10,6496
2017-07-11,5309
2017-07-12,5472
2017-07-13,5037
2017-07-14,6164
2017-07-15,5586
2017-07-16,5245
2017-07-17,6527
2017-07-18,6237
2017-07-19,6495
2017-07-20,6481
2017-07-21,6637
2017-07-22,5406
2017-07-23,5489
2017-07-24,1859
2017-07-25,5870
2017-07-26,7409
2017-07-27,5310
2017-07-28,7097
2017-07-29,5485
2017-07-30,5707
2017-07-31,6939
2017-08-01,7398
2017-08-02,5010
2017-08-03,7139
2017-08-04,6803
2017-08-05,4087
2017-08-06,5668
2017-08-07,6304
2017-08-08,6719
2017-08-09,7157
2017-08-10,7094
2017-08-11,6920
2017-08-12,4966
2017-08-13,5530
2017-08-14,6744
2017-08-15,6998
2017-08-16,6824
2017-08-17,6784
2017-08-18,5324
2017-08-19,5317
2017-08-20,4861
2017-08-21,6188
2017-08-22,5978
2017-08-23,6220
2017-08-24,6594
2017-08-25,6427
2017-08-26,5296
2017-08-27,4994
2017-08-28,6284
2017-08-29,6303
2017-08-30,6147
2017-08-31,6573
2017-09-01,5796
2017-09-02,4482
2017-09-03,1174
2017-09-04,5190
2017-09-05,6423
2017-09-06,5161
2017-09-07,6579
2017-09-08,6696
2017-09-09,4996
2017-09-10,4736
2017-09-11,6453
2017-09-12,6962
2017-09-13,6866
2017-09-14,6574
2017-09-15,5804
2017-09-16,5061
2017-09-17,4743
2017-09-18,5987
2017-09-19,5304
2017-09-20,3557
2017-09-21,6020
2017-09-22,4066
2017-09-23,5289
2017-09-24,5077
2017-09-25,6603
2017-09-26,6749
2017-09-27,6869
2017-09-28,6890
2017-09-29,7022
2017-09-30,2257
2017-10-01,4709
2017-10-02,6090
2017-10-03,6398
2017-10-04,6482
2017-10-05,6458
2017-10-06,6265
2017-10-07,4964
2017-10-08,3501
2017-10-09,2777
2017-10-10,6420
2017-10-11,6471
2017-10-12,6129
2017-10-13,6022
2017-10-14,3689
2017-10-15,4252
2017-10-16,5426
2017-10-17,5570
2017-10-18,6248
2017-10-19,6493
2017-10-20,6684
2017-10-21,6048
2017-10-22,5537
2017-10-23,6042
2017-10-24,5625
2017-10-25,3166
2017-10-26,3730
2017-10-27,5498
